geo,time,bx_gsr_gnfs_cd
syc,1990,228926341.34952
syc,1991,216821444.36848
syc,1992,242141367.85196
syc,1993,312050486.98583
syc,1994,303331284.00552
syc,1995,332194100.13702
syc,1996,333717215.68483
syc,1997,369418181.87847
syc,1998,370316233.8886
syc,1999,422956622.10853
syc,2000,481709731.53654
syc,2001,510600707.27477
syc,2002,549992962.18893
syc,2003,616821042.32154
syc,2004,627701307.29066
syc,2005,719670173.92253
syc,2006,850363972.50724
syc,2007,853730765.91481
syc,2008,902069825.49939
syc,2009,849794485.21341
syc,2010,840748158.6807
syc,2011,942455665.89809
syc,2012,1232788166.62486
syc,2013,1455916464.96076
syc,2014,1373240825.68427
syc,2015,1297074704.91759
syc,2016,1352922708.45049
syc,2017,1562920466.98712
syc,2018,1678376353.85651
syc,2019,1609214306.85254
syc,2020,1102679063.80155
syr,1977,1399300000
syr,1978,1320400000
syr,1979,2024000000
syr,1980,2476800000
syr,1981,2642800000
syr,1982,2485100000
syr,1983,2477300000
syr,1984,2346200000
syr,1985,2511500000
syr,1986,1603100000
syr,1987,1957300000
syr,1988,2014600000
syr,1989,3905900000
syr,1990,5029600000
syr,1991,4502500000
syr,1992,4380600000
syr,1993,4848000000
syr,1994,5192000000
syr,1995,5757000000
syr,1996,5970000000
syr,1997,5639000000
syr,1998,4808000000
syr,1999,5457000000
syr,2000,6845000000
syr,2001,7487000000
syr,2002,8227000000
syr,2003,7045000000
syr,2004,9833500000
syr,2005,11512000000
syr,2006,13168800000
syr,2007,15617016197.1401
syr,2008,19749315151.3201
syr,2009,15681906879.9603
syr,2010,19605790972.86729
tca,2014,620828845
tca,2015,654562247.66443
tca,2016,741172729.18079
tca,2017,602581142.12805
tca,2018,826823788.63487
tcd,1977,130735269.36178
tcd,1978,119540436.36196
tcd,1979,92867841.76806
tcd,1980,71369896.4881
tcd,1981,87523912.95445
tcd,1982,60081023.52844
tcd,1983,102457307.41922
tcd,1984,146522538.76146
tcd,1985,94441348.43414
tcd,1986,143093142.48292
tcd,1987,179825042.14514
tcd,1988,224631190.56144
tcd,1989,197662568.97147
tcd,1990,271169843.71981
tcd,1991,224478727.82483
tcd,1992,209024230.60749
tcd,1993,198892806.03194
tcd,1994,190093853.35864
