geo,time,sl_fam_work_zs
com,2009,8.01
com,2010,7.26
com,2011,6.54
com,2012,5.93
com,2013,5.21
com,2014,4.63
com,2015,4.52
com,2016,4.32
com,2017,4.03
com,2018,3.99
com,2019,3.72
cpv,1991,11.58
cpv,1992,11.34
cpv,1993,11.8
cpv,1994,11.69
cpv,1995,11.73
cpv,1996,11.28
cpv,1997,11.4
cpv,1998,11.32
cpv,1999,11.82
cpv,2000,11.44
cpv,2001,12.53
cpv,2002,13.12
cpv,2003,12.31
cpv,2004,12.1
cpv,2005,12.52
cpv,2006,13.06
cpv,2007,13.23
cpv,2008,12.31
cpv,2009,12.22
cpv,2010,12.48
cpv,2011,12.38
cpv,2012,12.64
cpv,2013,12.28
cpv,2014,11.68
cpv,2015,11.51
cpv,2016,6.57
cpv,2017,3.45
cpv,2018,1.5
cpv,2019,1.9
cri,1991,4.37
cri,1992,3.59
cri,1993,3.56
cri,1994,3.43
cri,1995,3.74
cri,1996,3.18
cri,1997,3.09
cri,1998,3.3
cri,1999,2.97
cri,2000,2.56
cri,2001,2.9
cri,2002,3.1
cri,2003,2.64
cri,2004,2.38
cri,2005,2.29
cri,2006,2.24
cri,2007,1.82
cri,2008,1.55
cri,2009,1.61
cri,2010,2.82
cri,2011,1.81
cri,2012,1.82
cri,2013,2.38
cri,2014,2.31
cri,2015,2.54
cri,2016,2.22
cri,2017,1.98
cri,2018,1.74
cri,2019,1.98
cub,1991,0.83
cub,1992,0.83
cub,1993,0.84
cub,1994,0.83
cub,1995,0.82
cub,1996,0.77
cub,1997,0.85
cub,1998,0.93
cub,1999,1.03
cub,2000,1.04
cub,2001,1.1
cub,2002,1.06
cub,2003,1.1
cub,2004,1.09
cub,2005,1.04
cub,2006,0.92
cub,2007,0.85
cub,2008,0.85
cub,2009,0.79
cub,2010,0.77
cub,2011,1.18
cub,2012,1.27
cub,2013,1.31
cub,2014,1.36
cub,2015,1.4
cub,2016,1.46
cub,2017,1.5
cub,2018,1.5
cub,2019,1.51
cyp,1991,4.26
cyp,1992,4.16
cyp,1993,4.05
cyp,1994,3.94
cyp,1995,3.82
cyp,1996,3.71
cyp,1997,3.58
cyp,1998,3.45
cyp,1999,3.29
cyp,2000,3.15
cyp,2001,3.3
cyp,2002,3.2
cyp,2003,3.49
cyp,2004,3.35
cyp,2005,2.77
cyp,2006,2.18
cyp,2007,1.71
cyp,2008,1.87
cyp,2009,2.36
cyp,2010,2.07
cyp,2011,1.88
cyp,2012,1.77
cyp,2013,1.64
cyp,2014,1.85
cyp,2015,1.31
cyp,2016,1.26
cyp,2017,0.83
cyp,2018,0.67
cyp,2019,0.8
cze,1991,0.38
cze,1992,0.39
cze,1993,0.39
cze,1994,0.4
cze,1995,0.39
cze,1996,0.39
cze,1997,0.38
cze,1998,0.44
cze,1999,0.55
cze,2000,0.55
cze,2001,0.66
cze,2002,0.6
cze,2003,0.74
cze,2004,0.66
cze,2005,0.73
cze,2006,0.67
cze,2007,0.61
cze,2008,0.63
cze,2009,0.6
cze,2010,0.6
cze,2011,0.53
cze,2012,0.58
cze,2013,0.95
cze,2014,0.59
cze,2015,0.6
cze,2016,0.53
cze,2017,0.47
cze,2018,0.49
cze,2019,0.49
deu,1991,1.45
deu,1992,1.44
deu,1993,1.39
deu,1994,1.36
deu,1995,1.36
deu,1996,1.01
deu,1997,0.97
deu,1998,1.01
deu,1999,0.84
deu,2000,0.8
deu,2001,1.19
deu,2002,1.1
deu,2003,0.99
deu,2004,1.13
deu,2005,1.15
deu,2006,1.03
deu,2007,1.04
deu,2008,0.91
deu,2009,0.64
deu,2010,0.57
deu,2011,0.59
deu,2012,0.54
deu,2013,0.48
deu,2014,0.44
deu,2015,0.4
deu,2016,0.38
deu,2017,0.36
deu,2018,0.33
deu,2019,0.28
dji,1991,6.58
dji,1992,6.91
dji,1993,7.07
dji,1994,7.12
dji,1995,6.92
dji,1996,6.86
dji,1997,6.75
dji,1998,6.79
dji,1999,6.55
dji,2000,6.31
dji,2001,6.01
dji,2002,5.7
dji,2003,5.48
dji,2004,5.2
dji,2005,4.96
dji,2006,4.63
dji,2007,4.22
dji,2008,3.76
dji,2009,3.85
dji,2010,3.77
dji,2011,3.82
dji,2012,3.67
dji,2013,3.51
dji,2014,3.27
dji,2015,3
dji,2016,2.79
dji,2017,2.52
dji,2018,2.35
dji,2019,2.12
dnk,1991,1.8
dnk,1992,1.9
dnk,1993,1.78
dnk,1994,1.43
dnk,1995,1.17
dnk,1996,0.98
dnk,1997,1.13
dnk,1998,1.26
dnk,1999,1.02
dnk,2000,0.94
dnk,2001,0.86
dnk,2002,0.83
dnk,2003,0.72
dnk,2004,0.86
dnk,2005,0.79
dnk,2006,0.69
dnk,2007,0.59
dnk,2008,0.47
dnk,2009,0.48
dnk,2010,0.32
dnk,2011,0.27
dnk,2012,0.28
dnk,2013,0.2
dnk,2014,0.21
dnk,2015,0.32
dnk,2016,0.43
dnk,2017,0.39
dnk,2018,0.4
dnk,2019,0.38
dom,1991,5.45
dom,1992,5.26
dom,1993,5.36
dom,1994,4.56
dom,1995,4.24
dom,1996,3.5
dom,1997,2.91
dom,1998,2.4
dom,1999,1.99
dom,2000,1.64
dom,2001,1.4
dom,2002,1.32
dom,2003,1.3
dom,2004,1.4
dom,2005,2.72
dom,2006,2.25
dom,2007,2.32
dom,2008,3.3
dom,2009,1.8
dom,2010,1.93
dom,2011,1.82
dom,2012,1.63
dom,2013,1.55
dom,2014,1.51
dom,2015,2.24
dom,2016,2.04
dom,2017,1.88
dom,2018,1.8
dom,2019,1.55
dza,1991,9.71
dza,1992,9.66
dza,1993,9.68
dza,1994,9.69
dza,1995,9.58
dza,1996,9.44
dza,1997,9.37
