geo,time,nv_ind_totl_kd
pry,2017,13700255122.3624
pry,2018,13953832105.6787
pry,2019,13532934053.1658
pry,2020,13763306924.0014
pse,1994,1425152776.64
pse,1995,1361422657.38
pse,1996,1245696709.39
pse,1997,1276026831.17
pse,1998,1463621474.08
pse,1999,1731256868.68
pse,2000,1319484898.34
pse,2001,1269052867.53
pse,2002,1004682799.1
pse,2003,1280995514.43
pse,2004,1409100000
pse,2005,1702200000
pse,2006,1324900000
pse,2007,1309300000
pse,2008,1562900000
pse,2009,1885400000
pse,2010,2250900000
pse,2011,2527500000
pse,2012,2678700000
pse,2013,2949600000
pse,2014,2416400000
pse,2015,2295000000
pse,2016,2609700000
pse,2017,2913000000
pse,2018,2977400000
pse,2019,2963800000
pse,2020,2384500000
qat,2000,22772200029.765
qat,2001,23529805387.9469
qat,2002,25603758712.5327
qat,2003,26828072376.3521
qat,2004,31269972557.634
qat,2005,33277007493.8583
qat,2006,38985539893.0258
qat,2007,45353106408.608
qat,2008,55052313056.8378
qat,2009,59322530624.448
qat,2010,74446253709.414
qat,2011,84664636789.2576
qat,2012,87345156079.8703
qat,2013,89307636115.67529
qat,2014,90999690269.39868
qat,2015,92904713406.59343
qat,2016,95215719444.60701
qat,2017,97113861516.09988
qat,2018,98365355413.8528
qat,2019,96825441483.20288
qat,2020,93900336495.4595
rou,1995,34176593627.3499
rou,1996,36003051102.7054
rou,1997,32646244145.9709
rou,1998,30505040880.0079
rou,1999,29873359357.6886
rou,2000,31447041716.2349
