geo,time,is_shp_gcnw_xq
ita,2006,59.90006
ita,2007,59.29925
ita,2008,58.34642
ita,2009,55.09361
ita,2010,61.43755
ita,2011,63.31857
ita,2012,62.87928
ita,2013,62.22829
ita,2014,62.00732
ita,2015,62.3857
ita,2016,64.28384
ita,2017,67.16593
ita,2018,66.1143
ita,2019,69.3684
ita,2020,75.96055
jam,2006,23.4558
jam,2007,21.46847
jam,2008,21.78658
jam,2009,22.16963
jam,2010,22.63208
jam,2011,22.50024
jam,2012,27.53818
jam,2013,28.30436
jam,2014,23.23416
jam,2015,23.32572
jam,2016,32.36736
jam,2017,33.93926
jam,2018,32.72701
jam,2019,32.27763
jam,2020,35.20139
jor,2006,16.98997
jor,2007,18.86053
jor,2008,17.89262
jor,2009,21.99026
jor,2010,21.19396
jor,2011,23.48371
jor,2012,20.47431
jor,2013,19.86839
jor,2014,23.06161
jor,2015,26.46809
jor,2016,25.46793
jor,2017,26.74516
jor,2018,34.47206
jor,2019,33.329
jor,2020,33.96812
jpn,2006,80.36861
jpn,2007,72.63299
jpn,2008,74.85104
jpn,2009,70.88002
jpn,2010,72.62129
jpn,2011,74.89689
jpn,2012,69.00193
jpn,2013,67.1819
jpn,2014,73.94889
jpn,2015,76.66099
jpn,2016,69.89835
jpn,2017,71.26375
jpn,2018,78.35934
jpn,2019,81.87197
jpn,2020,87.46395
ken,2006,13.08257
ken,2007,12.85051
ken,2008,13.84812
ken,2009,14.39144
ken,2010,13.40688
ken,2011,14.62654
ken,2012,13.5536
ken,2013,14.54222
ken,2014,15.28844
ken,2015,18.77202
ken,2016,15.53268
ken,2017,15.94326
ken,2018,17.34442
ken,2019,17.38223
ken,2020,16.72504
khm,2006,4.58142
khm,2007,5.05436
khm,2008,4.63739
khm,2009,4.35216
khm,2010,5.99947
khm,2011,5.6977
khm,2012,5.28522
khm,2013,6.1619
khm,2014,6.72769
khm,2015,8.7814
khm,2016,8.79422
khm,2017,8.04616
khm,2018,8.56569
khm,2019,8.13958
khm,2020,9.3622
kir,2008,2.79713
kir,2009,1.026
kir,2010,3.55038
kir,2011,3.75005
kir,2012,5.10916
kir,2013,4.91643
kir,2014,4.38189
kir,2015,3.87029
kir,2016,5.52153
kir,2017,5.3175
kir,2018,1.81188
kir,2019,5.33131
kir,2020,5.32617
kna,2006,3.01452
kna,2007,4.27222
kna,2008,4.96036
kna,2009,4.96036
kna,2010,4.30308
kna,2011,4.15244
kna,2012,4.15244
kna,2013,4.7568
kna,2014,4.75701
kna,2015,4.75701
kna,2016,6.04373
kna,2017,6.49756
kna,2018,6.49756
kna,2019,6.20673
kna,2020,5.06584
kor,2006,69.11844
kor,2007,72.68426
kor,2008,71.90017
kor,2009,73.18731
kor,2010,85.41949
