geo,time,sh_h2o_smdw_ru_zs
rwa,2005,1.42844
rwa,2006,1.65058
rwa,2007,1.87826
rwa,2008,2.11151
rwa,2009,2.3503
rwa,2010,2.59465
rwa,2011,2.84455
rwa,2012,3.1
rwa,2013,3.361
rwa,2014,3.62756
rwa,2015,3.89967
rwa,2016,4.17733
rwa,2017,4.46055
rwa,2018,4.74932
rwa,2019,5.04364
rwa,2020,5.04364
sle,2000,1.6918
sle,2001,1.83767
sle,2002,2.08726
sle,2003,2.35211
sle,2004,2.63222
sle,2005,2.92758
sle,2006,3.23819
sle,2007,3.56407
sle,2008,3.90519
sle,2009,4.26158
sle,2010,4.63322
sle,2011,5.02012
sle,2012,5.42227
sle,2013,5.83968
sle,2014,6.27234
sle,2015,6.72026
sle,2016,7.18344
sle,2017,7.66187
sle,2018,8.15555
sle,2019,8.6645
sle,2020,9.1887
srb,2000,66.46221
srb,2001,66.47118
srb,2002,66.48014
srb,2003,66.48911
srb,2004,66.49808
srb,2005,66.50705
srb,2006,66.51601
srb,2007,66.52498
srb,2008,66.53395
srb,2009,66.54292
srb,2010,66.55188
srb,2011,66.56085
srb,2012,66.56982
srb,2013,66.57879
srb,2014,66.58775
srb,2015,66.59672
srb,2016,66.60569
srb,2017,66.61465
srb,2018,66.62362
srb,2019,66.63259
srb,2020,66.64156
stp,2000,18.21185
stp,2001,18.52924
stp,2002,18.84753
stp,2003,19.16671
stp,2004,19.4868
stp,2005,19.80778
stp,2006,20.12966
stp,2007,20.45243
stp,2008,20.77611
stp,2009,21.10068
stp,2010,21.42614
stp,2011,21.75251
stp,2012,22.07977
stp,2013,22.40793
stp,2014,22.73699
stp,2015,23.06695
stp,2016,23.3978
stp,2017,23.72955
stp,2018,24.0622
stp,2019,24.39575
stp,2020,24.73019
sur,2000,30.31569
sur,2001,30.84026
sur,2002,31.36482
sur,2003,31.88938
sur,2004,32.41395
sur,2005,32.93851
sur,2006,33.46307
sur,2007,33.98764
sur,2008,34.5122
sur,2009,35.03677
sur,2010,35.56133
sur,2011,36.08589
sur,2012,36.61046
sur,2013,37.13502
sur,2014,37.65958
sur,2015,38.18415
sur,2016,38.70871
sur,2017,39.23327
sur,2018,39.75784
sur,2019,40.2824
sur,2020,40.80697
tcd,2000,3.07361
tcd,2001,3.03479
tcd,2002,2.99424
tcd,2003,2.95193
tcd,2004,2.90788
tcd,2005,2.86209
tcd,2006,2.81455
tcd,2007,2.76527
tcd,2008,2.71424
tcd,2009,2.66147
tcd,2010,2.60695
tcd,2011,2.55068
tcd,2012,2.49268
tcd,2013,2.43292
tcd,2014,2.37142
tcd,2015,2.30818
tcd,2016,2.24319
tcd,2017,2.17646
tcd,2018,2.10798
tcd,2019,2.03776
tcd,2020,1.96579
tgo,2000,4.20166
tgo,2001,4.35424
tgo,2002,4.50439
tgo,2003,4.65211
tgo,2004,4.79742
tgo,2005,4.94029
tgo,2006,5.08075
tgo,2007,5.21877
tgo,2008,5.35438
tgo,2009,5.48756
tgo,2010,5.61831
tgo,2011,5.74664
tgo,2012,5.87254
tgo,2013,5.99602
tgo,2014,6.11708
tgo,2015,6.23571
tgo,2016,6.35191
tgo,2017,6.46569
tgo,2018,6.57705
tgo,2019,6.68598
tgo,2020,6.68598
tkm,2000,50.61998
tkm,2001,52.65699
tkm,2002,54.73092
tkm,2003,56.84176
tkm,2004,58.98951
tkm,2005,61.17416
tkm,2006,63.39573
tkm,2007,65.6542
tkm,2008,67.94959
tkm,2009,70.28188
tkm,2010,72.65109
tkm,2011,75.0572
tkm,2012,77.50022
tkm,2013,79.98016
tkm,2014,82.497
tkm,2015,85.05075
tkm,2016,87.64141
tkm,2017,90.26898
tkm,2018,92.34755
tkm,2019,92.34755
tkm,2020,92.34755
ton,2000,23.05263
ton,2001,23.05263
ton,2002,23.05263
ton,2003,23.05263
ton,2004,23.05263
ton,2005,23.05616
ton,2006,23.05968
ton,2007,23.0632
ton,2008,23.06672
ton,2009,23.07024
ton,2010,23.07376
ton,2011,23.07729
ton,2012,23.08081
