geo,time,sl_tlf_acti_1524_fe_ne_zs
sle,2004,48.28
sle,2014,33.78
sle,2018,33.61
slv,1961,21.52
slv,1971,31.08
slv,1978,31.16
slv,1979,34.52
slv,1980,36.16
slv,1990,41.07
slv,1991,38.4
slv,1992,32.84
slv,1993,34.61
slv,1994,34.71
slv,1995,31.95
slv,1996,30.18
slv,1997,29.19
slv,1998,35.6
slv,1999,33.84
slv,2002,31.42
slv,2003,33.91
slv,2004,32.05
slv,2006,33.18
slv,2007,30.87
slv,2009,34.48
slv,2010,32.79
slv,2011,32.37
slv,2012,33.44
slv,2013,33.42
slv,2014,32.09
slv,2015,31.27
slv,2016,32.28
slv,2017,32.43
slv,2018,33.04
slv,2019,33.3
slv,2020,34.95
smr,1976,59.46
smr,1985,62
smr,1986,61.95
smr,1987,61.81
smr,1988,58.04
smr,1989,56.25
smr,1990,55.36
smr,1991,54.7
smr,1992,53.93
smr,1993,50.03
smr,1995,47.34
smr,1996,47.62
smr,1997,47.46
smr,1998,47.01
smr,1999,46.4
smr,2019,28.9
som,2019,11.37
srb,2006,30.08
srb,2007,27.93
srb,2008,27.18
srb,2009,24.51
srb,2010,21.95
srb,2011,20.71
srb,2012,21.85
srb,2013,22.74
srb,2014,21.28
srb,2015,22.63
srb,2016,23.45
srb,2017,24.07
srb,2018,23.31
srb,2019,22.68
srb,2020,21.1
ssd,2008,66
stp,1981,33.28
stp,1991,26.41
sur,1964,16.82
sur,1980,12.86
sur,1989,16.5
sur,1990,31.39
sur,1992,25.46
sur,1993,19.32
sur,1994,17.99
sur,1995,19.26
sur,1999,14.29
sur,2009,22.45
sur,2010,22.97
sur,2011,22.79
sur,2012,21.39
sur,2013,22.57
sur,2014,23.72
sur,2015,21.69
sur,2016,28.29
svk,1991,56.85
svk,1993,48.44
svk,1994,41.78
svk,1995,40.37
svk,1996,42.21
svk,1997,42.28
svk,1998,40.1
svk,1999,42.1
svk,2000,41.78
svk,2001,41
svk,2002,39.05
svk,2003,36.94
svk,2004,35.53
svk,2005,32.41
