geo,time,nv_mnf_chem_zs_un
pol,1992,5.94341
pol,1993,5.91803
pol,1994,7.87907
pol,1995,8.51976
pol,1996,7.72785
pol,1997,7.31209
pol,1998,6.74426
pol,1999,6.58954
pol,2000,7.52579
pol,2001,7.5765
pol,2003,7.13465
pol,2004,7.2639
pol,2005,7.26113
pol,2006,8.08989
pol,2007,7.86774
pol,2008,7.94516
pol,2009,7.323
pol,2010,8.31705
pol,2011,8.31233
pol,2012,7.533
pol,2013,7.89289
pol,2014,7.10434
pol,2015,7.46493
pol,2016,7.292
pol,2017,6.69789
pol,2018,6.18908
pol,2019,6.18907
pri,1989,43.06515
pri,1990,44.30929
pri,1991,48.57953
pri,1992,48.5902
pri,1993,51.77347
pri,1994,52.61828
pri,1995,54.09321
pri,1996,54.90177
pri,1997,56.96042
pri,1998,61.65936
pri,1999,59.50025
pri,2000,59.8666
pri,2001,60.05999
pri,2002,61.80764
pri,2003,61.99866
pri,2004,61.53451
pri,2005,62.0384
pri,2006,61.80644
prt,1963,9.33261
prt,1964,8.97381
prt,1965,9.41312
prt,1966,9.43673
prt,1967,9.84674
prt,1968,10.08092
prt,1969,10.4418
prt,1970,9.96792
prt,1971,11.53831
prt,1972,9.68981
prt,1973,9.6442
prt,1974,9.66938
prt,1975,8.94945
prt,1976,7.78965
prt,1977,7.5876
prt,1978,7.33138
prt,1979,6.66799
prt,1980,6.62556
prt,1981,6.26037
prt,1982,6.22427
prt,1983,7.82054
prt,1984,8.61324
prt,1985,9.72743
prt,1986,10.37518
prt,1987,9.8821
