country,time,cliberties_idea
ita,2009,89.0377
ita,2010,89.1878
ita,2011,89.64634
ita,2012,90.94795
ita,2013,86.61307
ita,2014,85.58227
ita,2015,85.97271
ita,2016,85.75184
ita,2017,84.93746
ita,2018,81.39498
ita,2019,81.05994
jam,1975,64.22911
jam,1976,64.15743
jam,1977,64.26693
jam,1978,64.4239
jam,1979,64.78238
jam,1980,66.78095
jam,1981,69.22548
jam,1982,69.53157
jam,1983,69.37788
jam,1984,68.79378
jam,1985,69.23612
jam,1986,70.93449
jam,1987,70.15435
jam,1988,71.10372
jam,1989,71.19406
jam,1990,72.07478
jam,1991,73.2376
jam,1992,73.47427
jam,1993,73.4194
jam,1994,73.40148
jam,1995,74.02534
jam,1996,73.95052
jam,1997,74.69364
jam,1998,74.49229
jam,1999,74.64718
jam,2000,74.67095
jam,2001,75.59183
jam,2002,75.05194
jam,2003,75.35594
jam,2004,74.71091
jam,2005,74.83591
jam,2006,75.22509
jam,2007,75.05888
jam,2008,74.62159
jam,2009,75.17957
jam,2010,74.67875
jam,2011,75.15228
jam,2012,75.21502
jam,2013,78.59533
jam,2014,78.49245
jam,2015,79.19504
jam,2016,78.83423
jam,2017,79.76268
jam,2018,77.79077
jam,2019,78.47382
jor,1975,35.7652
jor,1976,36.05962
jor,1977,36.03934
jor,1978,35.72286
jor,1979,36.01223
jor,1980,35.84965
jor,1981,36.08202
jor,1982,35.62529
jor,1983,36.16383
jor,1984,35.54086
jor,1985,36.45441
jor,1986,36.51054
jor,1987,36.38841
jor,1988,36.90966
jor,1989,39.97379
jor,1990,45.06997
jor,1991,45.71445
jor,1992,45.75782
jor,1993,45.72308
jor,1994,45.55577
jor,1995,45.18062
jor,1996,45.61309
jor,1997,44.1959
jor,1998,43.74852
jor,1999,43.79533
jor,2000,46.25841
jor,2001,46.71875
jor,2002,46.22959
jor,2003,46.55079
jor,2004,46.04811
jor,2005,46.06151
jor,2006,46.79807
jor,2007,47.01179
jor,2008,46.06705
jor,2009,46.18821
jor,2010,47.41905
jor,2011,47.45092
jor,2012,47.00572
jor,2013,48.42287
jor,2014,47.61111
jor,2015,47.74239
jor,2016,49.08728
jor,2017,48.84466
jor,2018,48.08212
jor,2019,48.70972
jpn,1975,78.4424
jpn,1976,78.75359
jpn,1977,78.54956
jpn,1978,78.53628
jpn,1979,78.45537
jpn,1980,78.63754
jpn,1981,79.4378
jpn,1982,79.32771
jpn,1983,79.31487
jpn,1984,79.46547
jpn,1985,79.74405
jpn,1986,79.7278
jpn,1987,79.80763
jpn,1988,79.75779
jpn,1989,79.71835
jpn,1990,80.34972
jpn,1991,80.47327
jpn,1992,80.74807
jpn,1993,80.37441
jpn,1994,81.4268
jpn,1995,81.40079
jpn,1996,81.20628
jpn,1997,81.38002
jpn,1998,81.10174
jpn,1999,80.88801
jpn,2000,81.05806
jpn,2001,80.91327
jpn,2002,80.85744
jpn,2003,80.84406
jpn,2004,80.83489
jpn,2005,80.8984
jpn,2006,81.18882
jpn,2007,80.25454
jpn,2008,79.67505
jpn,2009,81.12485
jpn,2010,80.84133
jpn,2011,80.47122
jpn,2012,80.5389
jpn,2013,76.74193
jpn,2014,76.35758
jpn,2015,75.01089
jpn,2016,74.37693
jpn,2017,74.60128
jpn,2018,75.80797
jpn,2019,74.1844
kaz,1991,50.25345
kaz,1992,50.49954
kaz,1993,51.71227
kaz,1994,51.89566
kaz,1995,50.0309
kaz,1996,49.01885
kaz,1997,48.74177
kaz,1998,48.80727
kaz,1999,48.5277
kaz,2000,47.19133
kaz,2001,47.14356
kaz,2002,46.32888
kaz,2003,45.97787
kaz,2004,45.98244
kaz,2005,44.53558
kaz,2006,44.50138
kaz,2007,44.52868
kaz,2008,45.0357
kaz,2009,44.67551
kaz,2010,44.96282
kaz,2011,44.14101
kaz,2012,43.70615
kaz,2013,42.4141
kaz,2014,42.15322
kaz,2015,41.32275
kaz,2016,42.58659
kaz,2017,41.1668
kaz,2018,40.06419
kaz,2019,42.34419
ken,1975,37.04201
ken,1976,37.16238
ken,1977,37.02382
ken,1978,37.41357
ken,1979,38.27994
ken,1980,37.05772
ken,1981,37.54491
ken,1982,36.39896
ken,1983,35.75537
ken,1984,34.64765
ken,1985,34.11554
ken,1986,33.71085
ken,1987,33.43559
ken,1988,32.55523
ken,1989,32.16883
ken,1990,36.60608
ken,1991,39.89669
ken,1992,42.56773
ken,1993,47.52241
ken,1994,47.18436
ken,1995,47.80067
ken,1996,49.1394
ken,1997,48.91633
ken,1998,49.04612
ken,1999,48.58686
ken,2000,50.35998
ken,2001,51.50347
ken,2002,52.66055
ken,2003,56.20394
ken,2004,57.57373
ken,2005,57.23588
ken,2006,57.69722
ken,2007,56.39351
ken,2008,56.54901
ken,2009,56.50658
ken,2010,59.52635
ken,2011,59.36567
ken,2012,59.66768
ken,2013,58.66184
ken,2014,57.91037
ken,2015,57.5411
ken,2016,58.62133
ken,2017,54.77015
ken,2018,54.72177
ken,2019,54.51434
kgz,1991,49.96614
kgz,1992,54.73152
kgz,1993,53.79983
kgz,1994,53.01522
kgz,1995,51.62539
kgz,1996,51.13727
kgz,1997,50.88485
kgz,1998,50.56448
kgz,1999,50.12245
kgz,2000,47.52069
kgz,2001,47.72302
kgz,2002,45.65424
kgz,2003,45.36057
kgz,2004,45.77733
kgz,2005,47.70882
kgz,2006,49.28173
kgz,2007,46.31093
kgz,2008,45.04425
kgz,2009,43.99954
kgz,2010,49.03465
kgz,2011,55.44605
kgz,2012,55.58197
kgz,2013,53.24991
kgz,2014,51.05046
kgz,2015,52.28896
kgz,2016,53.18929
kgz,2017,54.285
kgz,2018,59.97152
kgz,2019,53.24249
khm,1975,4.34722
khm,1976,1.04072
khm,1977,0.98806
khm,1978,1.7565
khm,1979,2.96543
khm,1980,12.9887
khm,1981,12.857
khm,1982,13.12346
khm,1983,12.81635
khm,1984,12.82386
khm,1985,12.82153
khm,1986,12.78525
khm,1987,12.87896
khm,1988,12.46744
khm,1989,12.86995
khm,1990,15.60925
khm,1991,16.60903
khm,1992,30.10602
khm,1993,40.10675
khm,1994,46.1777
khm,1995,45.84019
khm,1996,45.47476
khm,1997,45.19265
khm,1998,46.81013
khm,1999,50.49733
khm,2000,49.02369
khm,2001,48.91649
khm,2002,48.59839
khm,2003,46.20234
khm,2004,46.18078
khm,2005,45.93523
khm,2006,47.18696
khm,2007,46.69563
khm,2008,46.6682
khm,2009,46.49438
khm,2010,46.3929
khm,2011,46.92354
khm,2012,46.81656
khm,2013,45.44567
khm,2014,44.13069
khm,2015,44.65402
khm,2016,41.24509
khm,2017,37.09753
khm,2018,37.35023
khm,2019,36.98762
kor,1975,32.63965
