country,time,popcit_500k_1m
jpn,1960,2191601
jpn,1965,632979
jpn,1970,725779
jpn,1975,806567
jpn,1980,894970
jpn,1985,1439039
jpn,1990,1712865
jpn,1995,2730448
jpn,2000,3311352
jpn,2005,3856739
jpn,2010,3889196
jpn,2015,3903065
jpn,2020,3894706
jpn,2025,3846373
jpn,2030,3293702
jpn,2035,3234748
kaz,1950,0
kaz,1955,0
kaz,1960,528653
kaz,1965,626033
kaz,1970,1265245
kaz,1975,1409184
kaz,1980,1530475
kaz,1985,527607
kaz,1990,0
kaz,1995,0
kaz,2000,0
kaz,2005,1068793
kaz,2010,1311361
kaz,2015,1733869
kaz,2020,504946
kaz,2025,514742
kaz,2030,541754
kaz,2035,1085819
ken,1950,0
ken,1955,0
ken,1960,0
ken,1965,0
